correlation length,visibility
1.7076923076923078, 0.6982758620689655
1.5769230769230775, 0.7
1.4384615384615387, 0.7
1.2999999999999998, 0.7017241379310344
1.1692307692307695, 0.6965517241379311
1.0538461538461537, 0.6896551724137931
0.9384615384615387, 0.6827586206896552
0.8230769230769237, 0.6810344827586208
0.7076923076923078, 0.6844827586206896
0.6230769230769226, 0.6982758620689655
0.5384615384615392, 0.7189655172413794
0.476923076923077, 0.7448275862068965
0.4153846153846157, 0.7706896551724138
0.3692307692307697, 0.7982758620689655
0.3538461538461535, 0.8051724137931033
0.3076923076923075, 0.8327586206896551
0.2615384615384615, 0.8603448275862069
0.22307692307692317, 0.8879310344827586
0.18461538461538396, 0.9155172413793103
0.14615384615384652, 0.9448275862068964
0.09999999999999964, 0.9741379310344827
0.038461538461538325, 1.0017241379310344
