Propagation distance,Correlation length,Visibility,Epsilon,Number of spheres
0.0,0.0,0.9999985796243623,0.0014203766463962728,21488
0.02,5.5104087727204135e-08,0.9991674433677452,0.8329034000102999,21488
0.04,1.1020817545440827e-07,0.9970478333380066,2.9565329013550556,21488
0.06,1.653122631816124e-07,0.9924962127569099,7.532082290127497,21488
0.08,2.2041635090881654e-07,0.9882469724038261,11.822640403431294,21488
0.1,2.755204386360207e-07,0.9843228809154614,15.801304741442562,21488
0.12,3.306245263632248e-07,0.9803678788396015,19.827391186408757,21488
0.14,3.85728614090429e-07,0.9758881751007845,24.40727382504511,21488
0.16,4.408327018176331e-07,0.9716805740094704,28.728156093841662,21488
0.18,4.959367895448372e-07,0.9681721477473167,32.3453689350273,21488
0.2,5.510408772720414e-07,0.9636546396065112,37.022306230795934,21488
0.22,6.061449649992456e-07,0.9598120970226325,41.01774594640662,21488
0.24,6.612490527264496e-07,0.9559864105599528,45.01158092721519,21488
0.26,7.163531404536539e-07,0.9525083490073017,48.656406657699996,21488
0.28,7.71457228180858e-07,0.9488353653255351,52.519977692246314,21488
0.3,8.26561315908062e-07,0.9454429428367163,56.1017387259722,21488
0.32,8.816654036352662e-07,0.9427243164719515,58.981386416097585,21488
0.34,9.367694913624704e-07,0.9404360749074943,61.41160181476268,21488
0.36,9.918735790896745e-07,0.93758057074364,64.45258270383484,21488
0.38,1.0469776668168785e-06,0.93446569404496,67.78036325265073,21488
0.4,1.1020817545440828e-06,0.9315834007283489,70.86955915522289,21488
0.42,1.1571858422712869e-06,0.9282248456701899,74.48128495068477,21488
0.44,1.2122899299984911e-06,0.925059486067444,77.89723427536214,21488
0.46,1.2673940177256952e-06,0.9220773376917148,81.1261785835264,21488
0.48,1.3224981054528993e-06,0.9193372856695842,84.10221017326316,21488
0.5,1.3776021931801035e-06,0.9155631155755392,88.21597614555026,21488
0.52,1.4327062809073078e-06,0.9127518041023358,91.29128189141645,21488
0.54,1.4878103686345118e-06,0.9101419939799557,94.15465430319031,21488
0.56,1.542914456361716e-06,0.9077676366719692,96.76683987949575,21488
0.58,1.59801854408892e-06,0.9048220900160949,100.0169402252709,21488
0.6,1.653122631816124e-06,0.9022080336391348,102.91014954833443,21488
0.62,1.7082267195433283e-06,0.8982359744712194,107.32246739238428,21488
0.64,1.7633308072705323e-06,0.8957741343323612,110.06698000361644,21488
0.66,1.8184348949977368e-06,0.8929498938309692,113.2248096115845,21488
0.68,1.8735389827249409e-06,0.8903881463339166,116.09779185209858,21488
0.70,1.928643070452145e-06,0.8886725203671131,118.02647987352019,21488
0.72,1.983747158179349e-06,0.8860589294368822,120.97181880908965,21488
0.74,2.0388512459065533e-06,0.8839444072016549,123.36110610294638,21488
0.76,2.093955333633757e-06,0.8821356345935141,125.40945408011838,21488
0.78,2.1490594213609618e-06,0.8805413051784352,127.21844109740276,21488
0.8,2.2041635090881656e-06,0.8782831683675497,129.78622211887634,21488
0.82,2.25926759681537e-06,0.8776523542927432,130.50471558723333,21488
0.84,2.3143716845425737e-06,0.8766169423254853,131.6851638678794,21488
0.86,2.369475772269778e-06,0.8758928294201784,132.51153637454232,21488
0.88,2.4245798599969823e-06,0.8740580846007566,134.60844718159169,21488
0.9,2.4796839477241865e-06,0.8731499930382587,135.64792456941615,21488
