correlation length,visibility
2.376923076923078, 0.42413793103448283
2.1846153846153853, 0.42586206896551726
2.0230769230769234, 0.4310344827586208
1.9076923076923085, 0.4362068965517242
1.746153846153847, 0.45000000000000007
1.5461538461538469, 0.4758620689655173
1.3538461538461544, 0.5120689655172413
1.2076923076923078, 0.5465517241379311
1.0538461538461537, 0.5844827586206897
0.9230769230769234, 0.6310344827586207
0.8000000000000007, 0.6758620689655173
0.7000000000000002, 0.7189655172413794
0.6538461538461542, 0.743103448275862
0.5538461538461537, 0.7879310344827586
0.523076923076923, 0.8017241379310345
0.430769230769231, 0.85
0.31538461538461515, 0.9034482758620689
0.20769230769230695, 0.95
0.07692307692307665, 0.9965517241379309
