Propagation distance,Correlation length,Visibility,Epsilon,Number of spheres
0.01,8.856014099014951e-08,0.9874656132202073,12.613604868648228,142
0.03,2.6568042297044854e-07,0.9623014962475497,38.42747175499291,142
0.049999999999999996,4.4280070495074756e-07,0.9378579100819867,64.15682323936412,142
0.06999999999999999,6.199209869310465e-07,0.9141821898217894,89.725394983092,142
0.08999999999999998,7.970412689113454e-07,0.8901958962325078,116.31373234977791,142
0.10999999999999997,9.741615508916445e-07,0.8651400755413237,144.8638481186525,142
0.12999999999999998,1.1512818328719434e-06,0.8418983794837266,172.09596147262377,142
0.15,1.3284021148522425e-06,0.8186606395589124,200.08564051261973,142
0.16999999999999998,1.5055223968325414e-06,0.7976464094201603,226.08987569306456,142
0.18999999999999997,1.6826426788128404e-06,0.7760809387847312,253.4984616804086,142
0.20999999999999996,1.8597629607931395e-06,0.75587420629435,279.880310438129,142
0.22999999999999998,2.036883242773439e-06,0.7350023321702581,307.88160675357506,142
0.24999999999999997,2.2140035247537373e-06,0.7157575049638917,334.4138496046175,142
0.26999999999999996,2.3911238067340367e-06,0.6938818042058813,365.45364392242215,142
0.29,2.5682440887143356e-06,0.6698736095728154,400.66622682097994,142
0.30999999999999994,2.7453643706946345e-06,0.6466212675268953,435.9945229126657,142
0.32999999999999996,2.9224846526749334e-06,0.6241130230101338,471.4238003953507,142
0.35,3.0996049346552328e-06,0.6021565123876375,507.2378801092922,142
0.36999999999999994,3.2767252166355313e-06,0.5782404066376469,547.7655683451801,142
