Propagation distance,Correlation length,Visibility,Epsilon,Particle fraction,Number of spheres
0.0,0.0,0.9997462485481194,0.25378365222759475,0.04998576908482143,2300
0.02,1.7712028198029902e-07,0.9605067732654917,40.294244986321196,0.04998576908482143,2300
0.04,3.5424056396059805e-07,0.9215272398203606,81.72294200491258,0.04998576908482143,2300
0.06,5.313608459408971e-07,0.885374434755467,121.74463333242319,0.04998576908482143,2300
0.08,7.084811279211961e-07,0.8503490539495815,162.1083620867202,0.04998576908482143,2300
0.1,8.856014099014952e-07,0.8104576019572376,210.1562501466191,0.04998576908482143,2300
0.12,1.0627216918817941e-06,0.7757173672489713,253.96704260487357,0.04998576908482143,2300
0.14,1.2398419738620933e-06,0.7405764338969597,300.3264312938593,0.04998576908482143,2300
0.16,1.4169622558423922e-06,0.7082888596398216,344.90327465371763,0.04998576908482143,2300
0.18,1.5940825378226911e-06,0.6773703869754562,389.5370552678486,0.04998576908482143,2300
0.2,1.7712028198029905e-06,0.6460874729296034,436.8203773544671,0.04998576908482143,2300
0.22,1.9483231017832894e-06,0.6134371771270853,488.67742084533484,0.04998576908482143,2300
0.24,2.1254433837635883e-06,0.5873037161342122,532.2131889848138,0.04998576908482143,2300
0.26,2.302563665743887e-06,0.5656924566097846,569.7047113342996,0.04998576908482143,2300
0.28,2.4796839477241865e-06,0.5410528793313,614.2382612314815,0.04998576908482143,2300
0.3,2.656804229704485e-06,0.5189254614857116,655.9950256185462,0.04998576908482143,2300
0.32,2.8339245116847844e-06,0.5031552343823554,686.8565394325108,0.04998576908482143,2300
0.34,3.0110447936650833e-06,0.4855733388495644,722.424944266416,0.04998576908482143,2300
0.36,3.1881650756453822e-06,0.4700621679020637,754.8903208931695,0.04998576908482143,2300
0.38,3.3652853576256816e-06,0.45968308631772,777.2179697167006,0.04998576908482143,2300
