Propagation distance,Correlation length,Visibility,Epsilon,Particle fraction,Number of spheres
0.0,0.0,0.9999807521356537,0.019248049588779213,0.04998576908482143,2300
0.02,8.856014099014951e-08,0.9943211863479914,5.694999420651716,0.04998576908482143,2300
0.04,1.7712028198029902e-07,0.9885787359858186,11.48698755988593,0.04998576908482143,2300
0.06,2.6568042297044854e-07,0.9827594029451622,17.39094673289815,0.04998576908482143,2300
0.08,3.5424056396059805e-07,0.9771194189322423,23.146404181385698,0.04998576908482143,2300
0.1,4.428007049507476e-07,0.9714695261198243,28.94537852093252,0.04998576908482143,2300
0.12,5.313608459408971e-07,0.9663418273516124,34.23764882074543,0.04998576908482143,2300
0.14,6.199209869310466e-07,0.9612964629429784,39.472423368942245,0.04998576908482143,2300
0.16,7.084811279211961e-07,0.9560005120607973,44.996830302430176,0.04998576908482143,2300
0.18,7.970412689113456e-07,0.9501145787142636,51.17269248734298,0.04998576908482143,2300
0.2,8.856014099014952e-07,0.94422354871872,57.39233078832837,0.04998576908482143,2300
0.22,9.741615508916447e-07,0.9387674330858744,63.18750554533121,0.04998576908482143,2300
0.24,1.0627216918817941e-06,0.9341458117557264,68.12273756787393,0.04998576908482143,2300
0.26,1.1512818328719436e-06,0.9287113907206496,73.95725504372429,0.04998576908482143,2300
0.28,1.2398419738620933e-06,0.924008819750848,79.03366220110742,0.04998576908482143,2300
0.3,1.3284021148522425e-06,0.9186245989659877,84.87772869219805,0.04998576908482143,2300
0.32,1.4169622558423922e-06,0.9133547515917865,90.63091789515158,0.04998576908482143,2300
0.34,1.5055223968325416e-06,0.9081653706224261,96.3287907276612,0.04998576908482143,2300
0.36,1.5940825378226911e-06,0.9034662772436206,101.51649422460636,0.04998576908482143,2300
0.38,1.6826426788128408e-06,0.8986914414175574,106.81552765506956,0.04998576908482143,2300
0.4,1.7712028198029905e-06,0.894049702247811,111.99390999849412,0.04998576908482143,2300
0.42,1.8597629607931397e-06,0.8888285712278672,117.85089532744827,0.04998576908482143,2300
0.44,1.9483231017832894e-06,0.883497051222845,123.86732483650694,0.04998576908482143,2300
0.46,2.036883242773439e-06,0.878294961004694,129.77279528980768,0.04998576908482143,2300
0.48,2.1254433837635883e-06,0.8741371286813686,134.5180178290053,0.04998576908482143,2300
0.5,2.2140035247537377e-06,0.8703191557071015,138.89528896457136,0.04998576908482143,2300
0.52,2.302563665743887e-06,0.8657913519392018,144.11133254435296,0.04998576908482143,2300
0.54,2.391123806734037e-06,0.8613165877876142,149.2931443597897,0.04998576908482143,2300
0.56,2.4796839477241865e-06,0.856821443007332,154.52573330913611,0.04998576908482143,2300
0.58,2.5682440887143356e-06,0.8521301206638959,160.01604002999574,0.04998576908482143,2300
0.6,2.656804229704485e-06,0.8479395819447232,164.94589343516674,0.04998576908482143,2300
0.62,2.745364370694635e-06,0.8445064088789573,169.002953800429,0.04998576908482143,2300
0.64,2.8339245116847844e-06,0.8409032204869116,173.27870234099595,0.04998576908482143,2300
0.66,2.922484652674934e-06,0.8370173321535364,177.91050123568886,0.04998576908482143,2300
0.68,3.0110447936650833e-06,0.8338443619247844,181.7085104355378,0.04998576908482143,2300
0.70,3.099604934655233e-06,0.8304758496782126,185.75642960721117,0.04998576908482143,2300
0.72,3.1881650756453822e-06,0.8275792062859666,189.25045874543025,0.04998576908482143,2300
0.74,3.2767252166355317e-06,0.8247752529641492,192.64435041021773,0.04998576908482143,2300
0.76,3.3652853576256816e-06,0.8230404760958188,194.74989835303725,0.04998576908482143,2300
0.78,3.4538454986158314e-06,0.8214295814954835,196.70906460013467,0.04998576908482143,2300
