Propagation distance,Correlation length,Visibility,Epsilon,Particle fraction,Number of spheres
0.0,0.0,0.9872372194817494,2.568984894699237,0.1019422868236473,53666
0.02,1.1020817545440827e-07,0.7870673593030131,47.88828885232736,0.1019422868236473,53666
0.04,2.2041635090881654e-07,0.5781159325862241,109.59617100272507,0.1019422868236473,53666
0.06,3.306245263632248e-07,0.4849503314509453,144.74176053366932,0.1019422868236473,53666
0.08,4.408327018176331e-07,0.4488088871113017,160.23162460566067,0.1019422868236473,53666
0.1,5.510408772720414e-07,0.4090718460888203,178.77289511147765,0.1019422868236473,53666
0.12,6.612490527264496e-07,0.4677815691091154,151.95076493818348,0.1019422868236473,53666
0.14,7.71457228180858e-07,0.45870434515232,155.86988093394916,0.1019422868236473,53666
0.16,8.816654036352662e-07,0.5432185717663371,122.04870275339752,0.1019422868236473,53666
0.18,9.918735790896745e-07,0.4263028582565052,170.52105008656545,0.1019422868236473,53666
0.2,1.1020817545440828e-06,0.41864928994973644,174.14434527611624,0.1019422868236473,53666
0.22,1.2122899299984911e-06,0.44804253202354344,160.57342270417675,0.1019422868236473,53666
0.24,1.3224981054528993e-06,0.46928060300984525,151.31087775713783,0.1019422868236473,53666
0.26,1.4327062809073078e-06,0.5148003099461675,132.79524023786283,0.1019422868236473,53666
0.28,1.542914456361716e-06,0.516774503698635,132.02973253584304,0.1019422868236473,53666
0.3,1.653122631816124e-06,0.5058077713156832,136.31971609200534,0.1019422868236473,53666
0.32,1.7633308072705323e-06,0.45704662157722814,156.59397534218039,0.1019422868236473,53666
0.34,1.8735389827249409e-06,0.44775958575669284,160.6997659090628,0.1019422868236473,53666
0.36,1.983747158179349e-06,0.42876401153228166,169.36972021545824,0.1019422868236473,53666
0.38,2.093955333633757e-06,0.40307472046045173,181.72666473000584,0.1019422868236473,53666
0.4,2.2041635090881656e-06,0.39307237594037947,186.75230427411543,0.1019422868236473,53666
0.42,2.3143716845425737e-06,0.4568493473789875,156.6803196124281,0.1019422868236473,53666
0.44,2.4245798599969823e-06,0.5341847218330191,125.40271576064261,0.1019422868236473,53666
0.46,2.5347880354513904e-06,0.5112337812801754,134.18565915713802,0.1019422868236473,53666
0.48,2.6449962109057985e-06,0.4906389946872728,142.4093333297826,0.1019422868236473,53666
0.5,2.755204386360207e-06,0.487626738918188,143.64100901287827,0.1019422868236473,53666
0.52,2.8654125618146156e-06,0.4717018763905954,150.2816221535365,0.1019422868236473,53666
0.54,2.9756207372690237e-06,0.4362746022851254,165.8966824265421,0.1019422868236473,53666
0.56,3.085828912723432e-06,0.3994371580901747,183.5397655100571,0.1019422868236473,53666
0.58,3.19603708817784e-06,0.4082478396860281,179.176167758064,0.1019422868236473,53666
0.6,3.306245263632248e-06,0.4525339921598578,158.5784795736632,0.1019422868236473,53666
0.62,3.4164534390866566e-06,0.4631819035458533,153.92708436490133,0.1019422868236473,53666
0.64,3.5266616145410647e-06,0.5044728866369393,136.8482367342909,0.1019422868236473,53666
0.66,3.6368697899954736e-06,0.5459243119564144,121.05498712734175,0.1019422868236473,53666
0.68,3.7470779654498817e-06,0.633972349323734,91.14998771000707,0.1019422868236473,53666
0.70,3.85728614090429e-06,0.7040677177764433,70.17614748534028,0.1019422868236473,53666
0.72,3.967494316358698e-06,0.7350740367867821,61.556810904021226,0.1019422868236473,53666
0.74,4.0777024918131065e-06,0.872976645198811,27.169295169994356,0.1019422868236473,53666
0.76,4.187910667267514e-06,0.9488123740453537,10.508841807797484,0.1019422868236473,53666
0.78,4.2981188427219236e-06,0.9932251297242869,1.359584778368774,0.1019422868236473,53666
0.8,4.408327018176331e-06,0.9754338627642818,4.974583902259719,0.1019422868236473,53666
0.82,4.51853519363074e-06,1.0308819909737224,-6.082947548090961,0.1019422868236473,53666
0.84,4.6287433690851475e-06,1.0812048216261725,-15.615198984774986,0.1019422868236473,53666
0.86,4.738951544539556e-06,1.1295470848036688,-24.36334849404612,0.1019422868236473,53666
0.88,4.8491597199939646e-06,1.1826969431941374,-33.55947513441308,0.1019422868236473,53666
0.9,4.959367895448373e-06,1.1940222721032043,-35.46553362984123,0.1019422868236473,53666
