Propagation distance,Correlation length,Visibility,Epsilon,Number of spheres
0.0,0.0,1.0000000218973755,-4.379475045735909e-05,90097
0.02,5.5104087727204135e-08,0.9984338957570402,3.1346637322019473,90097
0.04,1.1020817545440827e-07,0.9966853012205782,6.640409126929502,90097
0.06,1.653122631816124e-07,0.9947533243781117,10.520975514949395,90097
0.08,2.2041635090881654e-07,0.9929916563202702,14.066034938951818,90097
0.1,2.755204386360207e-07,0.9909713793884739,18.139251211106114,90097
0.12,3.306245263632248e-07,0.9892438077634621,21.62891652528301,90097
0.14,3.85728614090429e-07,0.9873620115588544,25.437054201994098,90097
0.16,4.408327018176331e-07,0.9859486174289273,28.302075756867684,90097
0.18,4.959367895448372e-07,0.9848472534583514,30.537444932334193,90097
0.2,5.510408772720414e-07,0.9836745703651733,32.920315607592165,90097
0.22,6.061449649992456e-07,0.9821571845407311,36.00783542612705,90097
0.24,6.612490527264496e-07,0.9802300278887653,39.936025050044215,90097
0.26,7.163531404536539e-07,0.9790920468606709,42.25923912642198,90097
0.28,7.71457228180858e-07,0.9784543370285524,43.56231906348205,90097
0.3,8.26561315908062e-07,0.9780334801204985,44.422752562441296,90097
0.32,8.816654036352662e-07,0.9778823403235565,44.73184520469734,90097
0.34,9.367694913624704e-07,0.9778606489790633,44.77620961170313,90097
0.36,9.918735790896745e-07,0.9777070881400363,45.09030937194752,90097
0.38,1.0469776668168785e-06,0.9781335411532933,44.21814624448606,90097
0.4,1.1020817545440828e-06,0.9789644677297685,42.51986312809347,90097
0.42,1.1571858422712869e-06,0.9794711850417595,41.48492011614188,90097
0.44,1.2122899299984911e-06,0.9797285029406456,40.95956703050372,90097
0.46,1.2673940177256952e-06,0.9801179695204749,40.16467500109489,90097
0.48,1.3224981054528993e-06,0.9803465972212996,39.698198420513634,90097
0.5,1.3776021931801035e-06,0.9805608741750528,39.26110088739342,90097
0.52,1.4327062809073078e-06,0.9810238842439233,38.316945758777,90097
0.54,1.4878103686345118e-06,0.9813050493215556,37.7438204794274,90097
0.56,1.542914456361716e-06,0.9816906678841263,36.95804481185746,90097
0.58,1.59801854408892e-06,0.9816316407423036,37.07830451976408,90097
0.6,1.653122631816124e-06,0.9819803125683467,36.368038259427244,90097
0.62,1.7082267195433283e-06,0.9823980002351974,35.5175143650774,90097
0.64,1.7633308072705323e-06,0.9827082335499169,34.88603030184842,90097
0.66,1.8184348949977368e-06,0.9825605523977685,35.18661239724892,90097
0.68,1.8735389827249409e-06,0.9824189087210419,35.47494859571753,90097
0.7000000000000001,1.928643070452145e-06,0.9821915290348211,35.937899790247016,90097
0.72,1.983747158179349e-06,0.982066175142306,36.193169539055866,90097
0.74,2.0388512459065533e-06,0.9821930028752152,35.934898666240755,90097
0.76,2.093955333633757e-06,0.9823795424681607,35.555091681869875,90097
0.78,2.1490594213609618e-06,0.9820282797521257,36.27034584814947,90097
0.8,2.2041635090881656e-06,0.9814631817017714,37.42155648909274,90097
0.8200000000000001,2.25926759681537e-06,0.9814417661338879,37.46519704928991,90097
0.84,2.3143716845425737e-06,0.9813918370497329,37.56694603929051,90097
0.86,2.369475772269778e-06,0.9819359259870974,36.4584424841807,90097
0.88,2.4245798599969823e-06,0.9818800914488983,36.57216910157956,90097
0.9,2.4796839477241865e-06,0.9817478385333792,36.84157434622848,90097
