Sphere size (um),Visibility,Epsilon,Particle fraction,Number of spheres
2,0.9995259350855431,0.4741773187544811,0.0031830357142857138,2852
3,0.9995259350855431,0.4741773187544811,0.0031830357142857138,2852
4,0.9951593993711829,4.852354281205581,0.007161830357142856,713
5,0.9951593993711829,4.852354281205581,0.007161830357142856,713
6,0.9932304636435028,6.792553603946484,0.008816964285714284,316
7,0.9932304636435028,6.792553603946484,0.008816964285714284,316
8,0.9966412840326969,3.364369115539729,0.008939732142857142,178
9,0.9966412840326969,3.364369115539729,0.008939732142857142,178
10,0.9964208797760381,3.5855405988577176,0.008779017857142857,114
11,0.9964208797760381,3.5855405988577176,0.008779017857142857,114
12,0.9963319361586241,3.674807683828622,0.00961049107142857,79
13,0.9963319361586241,3.674807683828622,0.00961049107142857,79
14,0.9985517396568195,1.4493100858474774,0.009386160714285713,58
15,0.9985517396568195,1.4493100858474774,0.009386160714285713,58
16,0.9978839690090202,2.118272947815607,0.009477678571428571,44
17,0.9978839690090202,2.118272947815607,0.009477678571428571,44
18,0.9978525866867498,2.1497223113936044,0.009726562499999999,35
19,0.9978525866867498,2.1497223113936044,0.009726562499999999,35
20,0.9972387501659566,2.765069116648836,0.009531249999999998,28
21,0.9972387501659566,2.765069116648836,0.009531249999999998,28
22,0.9981908942822141,1.810744125868795,0.009574776785714284,23
23,0.9981908942822141,1.810744125868795,0.009574776785714284,23
24,0.9979997319746737,2.002271233160311,0.00926674107142857,19
25,0.9979997319746737,2.002271233160311,0.00926674107142857,19
26,0.9992235063003435,0.7767953270405751,0.009232142857142855,16
27,0.9992235063003435,0.7767953270405751,0.009232142857142855,16
28,0.9981276617369943,1.8740932792894986,0.009515624999999998,14
29,0.9981276617369943,1.8740932792894986,0.009515624999999998,14
30,0.9995619282945513,0.43816768689048946,0.009334821428571427,12
