prefactor,energy,particle fraction
1125.1716170863797,10.0,0.01,
2239.283455749286,10.0,0.05,
4478.566911498572,10.0,0.1,
140.13102522978562,20.0,0.01,
41.4863012919885,30.0,0.01,
17.496479978027768,40.0,0.01


