Sphere size (um),Visibility,Epsilon,Particle fraction
2,0.712462504993606,339.02799279443036,0.00985652544642857
3,0.6010315310429886,509.1078815253147,0.009878422433035714
4,0.566425274978441,568.4101136956291,0.009840596651785714
5,0.547519750420313,602.3567441150703,0.009810220200892858
6,0.5608325358911247,578.3329280204139,0.00975818828125
7,0.5582289572270591,582.9860831468601,0.0097150890625
8,0.581964735067276,541.3454257544198,0.00971578671875
9,0.6069563506271641,499.29840051295906,0.009667397098214285
10,0.5807903316177212,543.3654622738111,0.009853348549107143
11,0.5757581886414231,552.0675178181345,0.009931248883928571
12,0.5965827369672724,516.5373430102575,0.009971043191964285
13,0.6006912970558985,509.67412523513775,0.00992474140625
14,0.6255576896312817,469.1117237017121,0.009964069866071429
15,0.6587546468754308,417.4041250710945,0.0098344921875
16,0.6771439504916683,389.8713986994887,0.009873251339285714
17,0.6883723528671795,373.42537688764884,0.009879226674107143
18,0.6906317972643046,370.14845213179524,0.00993964453125
19,0.7034460250128347,351.764128878079,0.009788488727678572
20,0.7028239497696324,352.6488456037912,0.009797328125
21,0.7106895743776,341.5195487691976,0.009663719308035714
22,0.7134726775561782,337.6111363427117,0.009757649888392858
23,0.7197001123260469,328.92066439496153,0.00973753359375
24,0.7351406203520096,307.6934778618614,0.009589669196428572
25,0.7425430989759045,297.67436423107824,0.009831109040178572
26,0.7581399258782207,276.8873115920921,0.009450159709821429
27,0.7563298107362827,279.27774034760273,0.009534912276785714
28,0.7631654748858399,270.28039718020824,0.009547869977678572
29,0.7655124494575417,267.20980084545806,0.009583334486607142
30,0.7743686249357701,255.7072591610824,0.009454013839285715
