Sphere size (um),Visibility,Epsilon
2,0.9402355488025351,61.624851276487924
3,0.9399406334826421,61.93856158203304
4,0.9361273464399541,66.0037578701961
5,0.9423209624552144,59.4093379644261
6,0.9386264004868318,63.337748501056225
7,0.9374695425117858,64.57100965274572
8,0.9348969567369287,67.31896246512639
9,0.9390247687307351,62.91342234675072
10,0.9430334826663802,58.65349043991235
11,0.9406612088400674,61.17223733787653
12,0.9373975391236595,64.64781871176325
13,0.9476778574808875,53.74064726043626
14,0.9493243052267776,52.00480510730355
15,0.9537077466344284,47.39799971407155
16,0.9491542505856053,52.18395344806982
17,0.9510643357707476,50.17356807221756
18,0.9518666231924957,49.33035569448499
19,0.9538709124946435,47.226928539803374
20,0.9475723427199987,53.85199378448533
21,0.9450352706955427,56.53302869755153
22,0.9457397746658581,55.7878274060006
23,0.9449023858800258,56.673652188779954
24,0.9474789892022923,53.95051725581227
25,0.9486280065752485,52.738541859737374
26,0.9554692061136223,45.552743855029185
27,0.9565894118874009,44.3810162820379
28,0.9540673973345566,47.02096292802709
29,0.9516039875028953,49.606310248016136
30,0.9530363121102181,48.10227310502157
