Sphere size (um),Visibility,Epsilon,Particle fraction
2,0.9636477963635561,74.05881519973485,0.009951575892857143
3,0.9555835102047423,90.86623927848915,0.0099112921875
4,0.961943983119823,77.59811923402688,0.009959861830357143
5,0.960310242592886,80.99775472127583,0.009994350892857143
6,0.9645168223627033,72.256010502357,0.009946055133928572
7,0.9613275562050237,78.88015751786362,0.009910537053571429
8,0.9598812925621928,81.8913114940773,0.009970819196428572
9,0.9565862725156284,88.76859625145282,0.009880649553571428
10,0.9614350538567769,78.65652585100557,0.009899458035714286
11,0.9582747403100853,85.24151366790649,0.009944399330357142
12,0.9663104321637446,68.54027609318294,0.009844827455357143
13,0.9639031267837286,73.5289606187748,0.0097766109375
14,0.9651249676247832,70.99537179652008,0.009939586383928571
15,0.9603698551209091,80.87360593020288,0.0098344921875
16,0.9631969965412093,74.99464528263901,0.009873251339285714
17,0.9682358821979473,64.5590828682823,0.009625913169642857
18,0.9673813528581476,66.32498860592418,0.0096556546875
19,0.964124356054676,73.06998526933094,0.009472731026785714
20,0.967059969393247,66.98953906638167,0.009523912946428572
21,0.9653910799487415,70.44399108983636,0.009277170535714285
22,0.9667788018208896,67.57111303940135,0.009333404241071428
23,0.9682913911293263,64.44442622045976,0.009273841517857142
24,0.966866882411521,67.3889067719129,0.008634064955357143
25,0.9674300241892584,66.22436622650591,0.009331577455357143
26,0.9704830875734215,59.92260606699426,0.008686905803571428
27,0.9675014209415199,66.07677081174616,0.0089460453125
28,0.9669650919734581,67.18576696799515,0.0096210265625
29,0.9658397951720574,69.51460406072214,0.008846154910714285
30,0.9648136950682417,71.64051677497494,0.009454013839285715
