Sphere size (um),Visibility,Epsilon
2,0.7214147005305038,326.54113294030617
3,0.6052101027161182,502.17960402134685
4,0.5065660265034062,680.1006054410254
5,0.5262766013803267,641.9283463218621
6,0.5235490604561667,647.1245368139919
7,0.5526456915097663,593.0381853113545
8,0.565923324129155,569.296679692283
9,0.573431333076387,556.1170826651831
10,0.5947736696643598,519.5743329207621
11,0.583798899744737,538.1987052080627
12,0.5983163977000412,513.6355718080495
13,0.6321055440124427,458.69889875854284
14,0.6611426773984664,413.7856115931368
15,0.6635868655851206,410.09551353031975
16,0.682532995612845,381.9444078713291
17,0.6990523328706161,358.02967135250424
18,0.6870461388756566,375.35382907946166
19,0.6670840192418515,404.8392751197113
20,0.695279673495546,363.44110645443203
21,0.6793700041945611,386.58937466516534
22,0.7008645878496588,355.4405805792251
23,0.7118087417010054,339.94602486175296
24,0.7472953228903575,291.29482674290693
25,0.7465932115631347,292.2348050113338
26,0.7278008551430404,317.7278188349405
27,0.7388181069759211,302.70352232727936
28,0.7604310100397139,273.8698879793602
29,0.7604228473270969,273.88062236067844
30,0.7777473732309459,251.35352060521342
