Sphere size (um),Visibility,Epsilon
2,0.9473180182281352,54.12042566701741
3,0.9451320442431734,56.43063189177626
4,0.9339144731564527,68.37041544243161
5,0.9367836768499067,65.30289122073155
6,0.933606383931447,68.7003600603258
7,0.9444911821691974,57.10892806171037
8,0.9450190746162971,56.550166912953856
9,0.9455122357398209,56.028449941636424
10,0.9402031034973698,61.6593595069254
11,0.9442908375272807,57.32106968586688
12,0.9412194857894991,60.578919209472105
13,0.9429436872324493,58.74871474636948
14,0.9446693122249508,56.92034688312879
15,0.9418200690253498,59.9410321776466
16,0.945927699230734,55.58914072550591
17,0.9459347102718902,55.58172893792452
18,0.9486122380943328,52.755164404995234
19,0.9535954469553671,47.515757267845316
20,0.955633551335741,45.380753916881446
21,0.9503203705368971,50.95611909342709
22,0.9483972182230201,52.98185792148503
23,0.9488116391483474,52.54498358336623
24,0.9494879843263918,51.83240354773902
25,0.9495497067682079,51.767399633254
26,0.953614921318307,47.4953354378631
27,0.9525659910047216,48.595892486439794
28,0.9524902852372964,48.675371259229024
29,0.9510570031479081,50.18127801446938
30,0.9516750437525529,49.531643056791246
