Sphere size (um),Visibility,Epsilon
2,0.8400614699097888,174.28021135815663
3,0.815324180598428,204.16947722440327
4,0.7947665246505604,229.7068871449584
5,0.8033574183548451,218.95556026039895
6,0.8028160025294726,219.62972886366305
7,0.8303713731586573,185.8822407212698
8,0.8222389036521635,195.72428910629438
9,0.8333725081711553,182.27454809349456
10,0.8361539776055458,178.94249911848667
11,0.8344530880227821,180.97875313112985
12,0.8434878212178121,170.20981549061293
13,0.8547534025932941,156.94226966539193
14,0.8705958052504529,138.57746810383512
15,0.8685759505932217,140.90024681569952
16,0.8655085194251854,144.43806105766308
17,0.8742809240159253,134.35353161284087
18,0.8697168942434985,139.58752920599647
19,0.8619053224340448,148.60984911401235
20,0.8776699619920656,130.48465351753867
21,0.8691594539095764,140.22867928387288
22,0.8763578561907568,131.98075983062142
23,0.8809704736616368,126.73116818007277
24,0.8921200745899006,114.15454269266658
25,0.8916827946424611,114.64482103422661
26,0.8808347323955653,126.88526156777924
27,0.8842738218182434,122.98851112004986
28,0.8922379540020476,114.02241740118397
29,0.8969793636491923,108.7224231532082
30,0.9030284214989566,102.0012515322731
