Sphere size (um),Visibility,Epsilon,Particle fraction
2,0.7041253842089263,350.79883611297674,0.0499682390625
3,0.6822975906406658,382.2893663986138,0.04997417689732143
4,0.6758811625712802,391.7380134058265,0.049977241629464285
5,0.6849003609549981,378.4819097598763,0.04998576908482143
6,0.6811887699182384,383.9158160631439,0.04997323270089286
7,0.6808534064862938,384.4082581395075,0.049982346316964285
8,0.6873248646802839,374.94822417696105,0.04997939654017857
9,0.7011878994009065,354.9793830706888,0.049979364285714284
10,0.7060929710679826,348.00836309374415,0.04993374185267857
11,0.7264182805610444,319.62928604111045,0.04995107444196428
12,0.7361604967212736,306.30711782885544,0.049981431696428574
13,0.7412600264553543,299.40380234636524,0.04991996796875
14,0.7453079489898252,293.9577916611928,0.049992143638392855
15,0.7619668501085715,271.85222803633394,0.0499592203125
16,0.7735941533100448,256.7078926404275,0.04981504084821429
17,0.7819988127522984,245.9020566575457,0.049902760379464284
18,0.802620582808324,219.87317631452902,0.0499822125
19,0.8080971257031834,213.07302260689593,0.04988971674107143
20,0.7921776662540994,232.9695862466354,0.04968644977678571
21,0.7865548937460024,240.09276394669357,0.049864791629464285
22,0.7944274146420673,230.13365697494015,0.04963674073660714
23,0.7899426491115218,235.79493221765628,0.04961505212053571
24,0.7904282342527359,235.18041171287254,0.049982184040178575
25,0.7993787688761614,223.92039188152185,0.04977323203125
26,0.8150119163981463,204.55254450074642,0.049772934375
27,0.8096212341135249,211.18875288585957,0.049842252455357144
28,0.8112259265966487,209.20868586126832,0.04947956517857143
29,0.8158306045808624,203.5485379937338,0.04939103158482143
30,0.8274977692139366,189.34886754852673,0.04963357265625
