Sphere size (um),Visibility,Epsilon
2,0.9425711467124737,59.143875280899884
3,0.9391148095742364,62.81753933080201
4,0.9314998858833256,70.9592114490086
5,0.9347157030259202,67.5128568641934
6,0.9360918114943433,66.04171811161812
7,0.9421848233999475,59.55382046644392
8,0.9384205499900685,63.55708291625153
9,0.9431563373085382,58.523222912189865
10,0.9417540597925159,60.011121516686615
11,0.9433010892958701,58.36975855558731
12,0.9444620729397549,57.13974854852338
13,0.946010714400014,55.501383990154295
14,0.9530838824769796,48.05235981318775
15,0.9497539428340175,51.552335478936676
16,0.9477979719418161,53.613909204244855
17,0.9545123156598271,46.55473316533954
18,0.9534315445063567,47.687650429450095
19,0.9502135793913553,51.068499243919234
20,0.9562637249196017,44.721541087292955
21,0.9506721366368488,50.586032307036106
22,0.951770290777938,49.43156450582188
23,0.9546904378556879,46.368139891210234
24,0.9570661522111636,43.8827653506065
25,0.9573384561051095,43.59828641172456
26,0.9502375925493154,51.043228236364925
27,0.9531022686272761,48.033068779847284
28,0.9567372800857049,44.226449684269966
29,0.957633362218861,43.29028593541369
30,0.9598862084684489,40.9405343911938
