Sphere size (um),Visibility,Epsilon
2,0.4321742592453805,838.9263941901879
3,0.2740217077572137,1294.5479503409415
4,0.18387363705677418,1693.5065124237015
5,0.226007796927163,1487.185780627239
6,0.18304614273998177,1698.0170118040876
7,0.2593828544126946,1349.4501063826276
8,0.29147682750502374,1232.794770330739
9,0.2877813007314524,1245.554459775739
10,0.33075269898619786,1106.3843158202217
11,0.3155745400857382,1153.3603647292434
12,0.3842957807993681,956.3427603959685
13,0.43221668832665794,838.8282231451748
14,0.4469616122024923,805.2825667979865
15,0.48123972709121104,731.3897399119556
16,0.513714304248841,666.0879963664386
17,0.5304297582257481,634.0677364321606
18,0.5116839266262427,670.0481753778695
19,0.4775764758912969,739.0309729507718
20,0.5483254227701471,600.8863311138405
21,0.5288438982833747,637.0619789821613
22,0.5713459377534778,559.7604073237162
23,0.5901199595477109,527.4294414820329
24,0.6376443039163496,449.97466848043797
25,0.6373855474845483,450.38055142516953
26,0.6230931019392822,473.05933004486513
27,0.6640369927127482,409.417419140765
28,0.6969615685481345,361.02500812323217
29,0.6971188761910553,360.7993286881866
30,0.7282728706782691,317.079478653544
