Sphere size (um),Visibility,Epsilon,Particle fraction
2,0.5609844365633245,578.0621161556303,0.09993465803571429
3,0.508018049311431,677.2383018942234,0.09995666361607143
4,0.4690389340760479,757.0694988938972,0.09995314910714286
5,0.4958070480305744,701.5684440109796,0.09996978504464285
6,0.5106654189354491,672.0406606905884,0.09994648805803572
7,0.5202159351623111,653.5112936756844,0.09996484408482142
8,0.5285861191046051,637.5495368907459,0.099959425
9,0.5035444016698727,686.0833846741971,0.09995812700892857
10,0.5557383654117592,587.4576612885771,0.09995568258928571
11,0.5813710035616165,542.3661655761164,0.09990115959821429
12,0.5932967685623376,522.0605522816091,0.09996261015625
13,0.6079025040645506,497.740765031222,0.09998806640625
14,0.5886486206860662,529.9258426424209,0.09998428727678571
15,0.5707319894383241,560.8355500257618,0.099918440625
16,0.6164143175190988,483.8359481630091,0.09985447377232143
17,0.6404829737550151,445.53274073869875,0.09980552075892857
18,0.6725077569182486,396.74163312173687,0.09996411484375
19,0.6812771993022231,383.78600822044314,0.09977943348214285
20,0.6906642498148864,370.1014635797663,0.09972280412946428
21,0.6940562288208628,365.2023004016752,0.09972958325892857
22,0.6977707439187322,359.8646772781631,0.09969772712053572
23,0.6909109471622804,369.7443388274463,0.0996925421875
24,0.7192570651219937,329.5364536970992,0.09996583660714285
25,0.7254615202035728,320.9472470671685,0.0995464640625
26,0.7277017576332149,317.8639883053471,0.09954586875
27,0.7285432702474527,316.70825875187955,0.09968450491071429
28,0.7287952399797485,316.36246436980804,0.09964551082589286
29,0.7216145172383559,326.26419231198247,0.09951924274553571
30,0.7091406173867772,343.7014401169248,0.0992671453125
