Sphere size (um),Visibility,Epsilon,Particle fraction,Number of spheres
2,0.9256803690613875,77.22627772194333,0.009993372544642857,1426
3,0.922195467922172,80.99807364128671,0.00998402075892857,633
4,0.9199079427110071,83.48167621625853,0.009981429464285714,356
5,0.9111063834988884,93.09561192215752,0.009997247767857143,230
6,0.8889426821218345,117.72252010042286,0.009969412053571429,158
7,0.9004051244875254,104.91047862021419,0.00996214732142857,116
8,0.8991237934462163,106.33455271547678,0.009984786830357143,89
9,0.8995261148029451,105.88719343606019,0.009939078125,70
10,0.8998477145927749,105.52973598280579,0.009952009151785714,57
11,0.9135183494435728,90.45181639967177,0.009969004241071429,47
12,0.9211232569577498,82.16142219395526,0.009844827455357143,39
13,0.9208413941666599,82.46746801640668,0.0097766109375,33
14,0.9276286483992381,75.12378964555086,0.009964069866071429,29
15,0.9253796487814827,77.55119455840642,0.0098344921875,25
16,0.9279823601433072,74.7425548428635,0.009873251339285714,22
17,0.9301641520347964,72.39420084616556,0.009625913169642857,19
18,0.9340686405693843,68.20535247997884,0.0096556546875,17
19,0.936238636149244,65.88488184867488,0.009472731026785714,15
20,0.9338738218882914,68.41394421737424,0.009797328125,14
21,0.9370706087787153,64.99664336223826,0.009277170535714285,12
22,0.9294537936065591,73.15818407664958,0.009333404241071428,11
23,0.9310810422172942,71.40895692505458,0.009273841517857142,10
24,0.9332581139616325,69.07346691864119,0.009087936830357142,9
25,0.9304347997872443,72.10327543841794,0.0098452546875,9
26,0.9310573375236475,71.43441657285072,0.009480558928571428,8
27,0.929486401118206,73.12310224696749,0.0089460453125,7
28,0.9261676423265371,76.70002149205963,0.0096210265625,7
29,0.9304882527674606,72.04582762491741,0.008846154910714285,6
30,0.9289807386493266,73.6672738069993,0.009454013839285715,6
