Sphere size (um),Visibility,Epsilon
2,0.9333379326785795,68.9879436291868
3,0.9235049034667205,79.57916970158335
4,0.9123342111314254,91.74889646378416
5,0.916457956996525,87.23908618992017
6,0.9152286787745229,88.58132277400729
7,0.9233367939921036,79.761220469998
8,0.9210657025541081,82.223906993208
9,0.9272630576648322,75.51798057103152
10,0.9261043190991656,76.76839506647524
11,0.9228107328169818,80.33112204256538
12,0.9256603996449845,77.24785064546055
13,0.9235938070934766,79.48290670674021
14,0.9360879931426815,66.04579715536414
15,0.9319302331605459,70.49732422235797
16,0.9285060391839492,74.17839397364239
17,0.9380763431431335,63.92394400944609
18,0.9375766078187263,64.45680946941904
19,0.9326723126872702,69.70135881133115
20,0.9377861529988916,64.23333784524546
21,0.932038422226107,70.3812395818036
22,0.9340548693015818,68.22009590323758
23,0.9375525383521879,64.48248179880383
24,0.9419617206924231,59.790641439065816
25,0.941033629320667,60.776402181282954
26,0.9334308849825919,68.88835732454123
27,0.9377699726010253,64.25059181876911
28,0.9425236337031652,59.19428442723266
29,0.9408662299936726,60.954306788276114
30,0.9457267005754892,55.801651695820404
