Sphere size (um),Visibility,Epsilon
2,0.9899451737113266,10.10571747660429
3,0.9896183494876246,10.435915747931654
4,0.9880784476260231,11.993183955119108
5,0.9887974292064652,11.265792194645941
6,0.988688343067307,11.37612031007242
7,0.989382258525066,10.674511898658166
8,0.9892322787839667,10.82611266632516
9,0.9900325161289546,10.01749181817106
10,0.9897229626653542,10.330210706375983
11,0.9894926911693184,10.562900354549164
12,0.9892817162527472,10.776138323040445
13,0.9887079982915994,11.356240406502344
14,0.9906097958084497,9.434570114073052
15,0.9898016374433484,10.250722148334043
16,0.9888800662347562,11.182222423002573
17,0.9912334298443194,8.805222597194348
18,0.9912281371931438,8.810562071374893
19,0.9904161883763993,9.630031894193412
20,0.9910180875166795,9.02249303598678
21,0.9899039640513272,10.147346567649027
22,0.9898296451634157,10.22242625271426
23,0.9907781837168064,9.264600466026183
24,0.991161041759624,8.878253556233439
25,0.991106367490338,8.93341692021229
26,0.9893436951829071,10.71348985019463
27,0.9902326492017971,9.815364267752374
28,0.9912008427105994,8.838098475274226
29,0.9906314179467689,9.41274325304272
30,0.9910237832016474,9.016745745728135
