Sphere size (um),Visibility,Epsilon,Particle fraction
2,0.8731172268103381,67.84272586656542,0.009993370647321429
3,0.8536329570835937,79.12698511152966,0.009995072209821428
4,0.8496943176966238,81.43931020903237,0.009995448325892857
5,0.8548332681293411,78.42441854888723,0.009997061774553572
6,0.8517136346830737,80.25245908859853,0.009985019810267858
7,0.8550415594264842,78.30260185516404,0.009983617466517858
8,0.8624342827025346,73.99816347380293,0.009984786830357143
9,0.8729880998720895,67.9166772694452,0.009974574832589286
10,0.8777065740938138,65.22146963723395,0.009995658314732142
11,0.8796486346642307,64.11636501676632,0.009969004241071429
12,0.8668471316835547,71.44631822582726,0.009971043191964285
13,0.853461173243838,79.22761450113609,0.009998806640625
14,0.8510434555035623,80.64604383299887,0.009964069866071429
15,0.8607879009385749,74.95357263724793,0.009932837109375
16,0.8537932653629292,79.0330962642699,0.009985447377232143
17,0.8643991089392705,72.86034259649203,0.009879226674107143
18,0.8692558511538444,70.0588884249079,0.00993964453125
19,0.8739982406956337,67.33845813134255,0.009946367578125
20,0.8712259190818732,68.9269783968439,0.009972280412946429
21,0.8687301220337916,70.36138173854705,0.00985699369419643
22,0.8731664364466788,67.8145462314986,0.00996977271205357
23,0.8728525195191524,67.99433633620289,0.009969379631696428
24,0.8818894465586506,62.8442874346886,0.009845264899553572
25,0.8905661636154538,57.94893980638042,0.0098452546875
26,0.8938076675782936,56.13233194546262,0.009776826395089287
27,0.8921181374628648,57.078357034904855,0.009904550167410714
28,0.8923526122927261,56.94695962688188,0.009964634654017857
29,0.8840697374463687,61.6096654710185,0.009951924274553572
30,0.8829895227961616,62.22097195579142,0.009847931082589285
