Sphere size (um),Visibility,Epsilon,Particle fraction
2,0.7071670166607839,346.48840808347796,0.009993588839285715
3,0.6024359379133861,506.7739463851673,0.009991737834821428
4,0.5676941220730926,566.1725227905498,0.009995448325892857
5,0.5482741398981754,600.9798618314422,0.009997247767857143
6,0.5621390748301005,576.0059955921394,0.009969412053571429
7,0.5455491907747436,605.9623022021851,0.009961995870535714
8,0.5638559267058219,572.9565092199105,0.009984786830357143
9,0.5924955261480201,523.4119568063875,0.009939078125
10,0.5799548696196845,544.8049894696491,0.009952009151785714
11,0.5741858829281404,554.8020972328276,0.009969004241071429
12,0.5976177783579532,514.8038960110714,0.009971043191964285
13,0.6015671167013367,508.2171675788746,0.00992474140625
14,0.6263847444041115,467.79048900168345,0.009964069866071429
15,0.6595114897000329,416.2558851417529,0.0098344921875
16,0.6778250243910521,388.86610046850603,0.009873251339285714
17,0.68895875942442,372.5738654574059,0.009879226674107143
18,0.6910985044994212,369.47291182950966,0.00993964453125
19,0.7039326624891934,351.07257727214034,0.009788488727678572
20,0.7033819534932233,351.8552153799607,0.009797328125
21,0.7112231405123882,340.76905803338184,0.009663719308035714
22,0.7140384706720772,336.81843760094904,0.009757649888392858
23,0.7203499113757614,328.0181970040769,0.00973753359375
24,0.735837095577301,306.7465222828681,0.009592822209821428
25,0.7428364793297555,297.2793401416793,0.0098452546875
26,0.7581106303310554,276.9259536846525,0.009480558928571428
27,0.7556724742080952,280.1472318505533,0.009585048549107142
28,0.7623744105313262,271.31749156624034,0.0096210265625
29,0.7666240136562058,265.7588016421248,0.009583334486607142
30,0.7757395239243403,253.9384801929928,0.009454013839285715
