Sphere size (um),Visibility,Epsilon,Particle fraction,Number of spheres
2,0.9864239672901187,13.669029687813588,0.0031830357142857138,2852
3,0.9864239672901187,13.669029687813588,0.0031830357142857138,2852
4,0.9539570799155469,47.13659815225819,0.007161830357142856,713
5,0.9539570799155469,47.13659815225819,0.007161830357142856,713
6,0.9381931643814883,63.7994190006057,0.008816964285714284,316
7,0.9381931643814883,63.7994190006057,0.008816964285714284,316
8,0.9466406466931127,54.835722760296,0.008939732142857142,178
9,0.9466406466931127,54.835722760296,0.008939732142857142,178
10,0.9550963778699005,45.94302435791232,0.008779017857142857,114
11,0.9550963778699005,45.94302435791232,0.008779017857142857,114
12,0.9593867152506316,41.461036944969635,0.00961049107142857,79
13,0.9593867152506316,41.461036944969635,0.00961049107142857,79
14,0.960292602852487,40.517246322697254,0.009386160714285713,58
15,0.960292602852487,40.517246322697254,0.009386160714285713,58
16,0.9656428012131328,34.96128415267097,0.009477678571428571,44
17,0.9656428012131328,34.96128415267097,0.009477678571428571,44
18,0.9650861519559158,35.53790498981826,0.009726562499999999,35
19,0.9650861519559158,35.53790498981826,0.009726562499999999,35
20,0.9692228171343997,31.260748081635175,0.009531249999999998,28
21,0.9692228171343997,31.260748081635175,0.009531249999999998,28
22,0.9742882267342486,26.048098443774826,0.009574776785714284,23
23,0.9742882267342486,26.048098443774826,0.009574776785714284,23
24,0.9721857099331409,28.20843316926245,0.00926674107142857,19
25,0.9721857099331409,28.20843316926245,0.00926674107142857,19
26,0.9805731840886881,19.6179965710192,0.009232142857142855,16
27,0.9805731840886881,19.6179965710192,0.009232142857142855,16
28,0.9727936305133756,27.58331537249273,0.009515624999999998,14
29,0.9727936305133756,27.58331537249273,0.009515624999999998,14
30,0.9779004463946352,22.3474071811043,0.009334821428571427,12
