Sphere size (um),Visibility,Epsilon,Particle fraction,Number of spheres
2,0.9445063105055488,57.092910744153926,0.0031830357142857138,2852
3,0.9445063105055488,57.092910744153926,0.0031830357142857138,2852
4,0.6970207985023449,360.9400286347594,0.007161830357142856,713
5,0.6970207985023449,360.9400286347594,0.007161830357142856,713
6,0.628860083063243,463.84649048657553,0.008816964285714284,316
7,0.628860083063243,463.84649048657553,0.008816964285714284,316
8,0.6350398141903612,454.06758254259785,0.008939732142857142,178
9,0.6350398141903612,454.06758254259785,0.008939732142857142,178
10,0.6462435039930364,436.57890505831784,0.008779017857142857,114
11,0.6462435039930364,436.57890505831784,0.008779017857142857,114
12,0.6526550883197585,426.70648477880485,0.00961049107142857,79
13,0.6526550883197585,426.70648477880485,0.00961049107142857,79
14,0.6834663241345434,380.5778937692437,0.009386160714285713,58
15,0.6834663241345434,380.5778937692437,0.009386160714285713,58
16,0.6996487199560357,357.17689853109744,0.009477678571428571,44
17,0.6996487199560357,357.17689853109744,0.009477678571428571,44
18,0.731804012496857,312.24254336087773,0.009726562499999999,35
19,0.731804012496857,312.24254336087773,0.009726562499999999,35
20,0.7642839124936,268.8159456351864,0.009531249999999998,28
21,0.7642839124936,268.8159456351864,0.009531249999999998,28
22,0.786408706971164,240.27863827359164,0.009574776785714284,23
23,0.786408706971164,240.27863827359164,0.009574776785714284,23
24,0.7655853891708092,267.1145231806577,0.00926674107142857,19
25,0.7655853891708092,267.1145231806577,0.00926674107142857,19
26,0.769932558229726,261.4523546849894,0.009232142857142855,16
27,0.769932558229726,261.4523546849894,0.009232142857142855,16
28,0.7887349899835335,237.32489543960108,0.009515624999999998,14
29,0.7887349899835335,237.32489543960108,0.009515624999999998,14
30,0.78608190672231,240.6942849562657,0.009334821428571427,12
